Blast No.,Date of Blast,Location of Blast,Total Charge,Max Charge Delay,Station,Distance,PPV,Freq,Airblast(dbl),Flyrock,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Ton Recover,Powder Factor
MAD529201943758,2019-05-27, Pit 1 Road side East (RE) and RL356 TO RL344,799.52,21.05,Mailkal,350.0,1.52,57.0,100.0,0.0,115.0,6.0,38.0,2.5,3.0,2.5,21.04,4000.0,5.0
MAD529201950651,2019-05-28, Pit 1 Road side East (RE) and RL 368 TO RL 356,475.0,23.75,Mailkal,350.0,1.27,34.0,112.0,0.0,115.0,6.0,20.0,2.5,3.0,2.5,23.75,2000.0,4.21
MAD529201941225,2019-05-29, Pit 1 Road side East (RE) and RL390 TO RL380,849.8,60.71,NH,200.0,1.14,24.0,112.0,0.0,115.0,9.5,14.0,2.5,3.0,2.5,60.7,2800.0,3.29
MAD531201950601,2019-05-31, Pit 2 Road side West (RW) and RL 360 TO RL350,1199.84,75.0,NH,280.0,4.13,57.0,117.0,0.0,121.0,11.0,16.0,2.5,3.0,3.0,74.99,3000.0,2.5
MAD68201954535,2019-06-07, Pit 1 Road side East (RE) and RL385,835.8,60.0,Highway Bridge,275.0,1.27,24.0,117.0,10.0,115.0,9.5,14.0,2.5,3.0,3.0,59.7,0.0,0.0
MAD611201915724,2019-06-10, Pit 1 Road side East (RE) and RL 368 TO RL 356,787.2,12.0,Highway,350.0,2.29,57.0,112.0,25.0,115.0,3.5,64.0,2.2,3.0,2.0,12.3,0.0,0.0
MAD614201960351,2019-06-13, Pit 1 Road side East (RE) and RL390 TO RL380,625.0,32.0,Highway Bridge,210.0,2.1,28.0,118.0,10.0,115.0,6.0,20.0,2.5,3.0,2.5,31.25,0.0,0.0
MAD618201962217,2019-06-17, Pit 2 Road side West (RW) and RL370 TO RL360,1150.05,68.0,Highway Bridge,200.0,1.72,22.0,114.0,10.0,115.0,11.5,17.0,2.5,3.5,3.0,67.65,0.0,0.0
MAD619201961225,2019-06-18, Pit 1 Road side East (RE) and RL380 to RL370,724.92,59.0,Myl kal,412.0,1.46,19.0,100.0,10.0,115.0,10.0,12.0,2.5,3.0,3.0,60.41,0.0,0.0
MAD621201950622,2019-06-20, Pit 2 Road side West (RW) and RL370 TO RL360,350.0,35.0,Highway Bridge,200.0,1.27,39.0,118.0,10.0,115.0,7.0,10.0,2.5,3.0,2.5,35.0,0.0,0.0
